Name,Name_Identifier,Platform,Platform_Identifier,Year_of_Release,Genre,Genre_Identifier,Publisher,Publisher_Identifier,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Developer_Identifier,Rating,Rating_Identifier,Sales_Category,Sales_Category_Identifier
Mario Kart Wii,4243,Wii,7,2008,Racing,5,Nintendo,156,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo,1264,E,1,VERY HIGH,4
Wii Sports Resort,4225,Wii,7,2009,Sports,2,Nintendo,156,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo,1264,E,1,VERY HIGH,4
New Super Mario Bros.,1829,DS,11,2006,Platform,6,Nintendo,156,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,1264,E,1,VERY HIGH,4
Wii Play,1832,Wii,7,2006,Misc,7,Nintendo,156,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,1264,E,1,VERY HIGH,4
New Super Mario Bros. Wii,3137,Wii,7,2009,Platform,6,Nintendo,156,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo,1264,E,1,VERY HIGH,4
Mario Kart DS,4042,DS,11,2005,Racing,5,Nintendo,156,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,1264,E,1,VERY HIGH,4
Wii Fit,1431,Wii,7,2007,Sports,2,Nintendo,156,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,1264,E,1,VERY HIGH,4
Kinect Adventures!,3307,X360,15,2010,Misc,7,Microsoft Game Studios,14,15,4.89,0.24,1.69,21.81,61,45,6.3,106,Good Science Studio,1172,E,1,VERY HIGH,4
Wii Fit Plus,3478,Wii,7,2009,Sports,2,Nintendo,156,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,1264,E,1,VERY HIGH,4
Grand Theft Auto V,300,PS3,14,2013,Action,1,Take Two Interactive,21,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,1197,M,2,VERY HIGH,4
Grand Theft Auto: San Andreas,2967,PS2,13,2004,Action,1,Take Two Interactive,21,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,1197,M,2,VERY HIGH,4
Brain Age: Train Your Brain in Minutes a Day,271,DS,11,2005,Misc,7,Nintendo,156,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,Nintendo,1264,E,1,VERY HIGH,4
Grand Theft Auto V,300,X360,15,2013,Action,1,Take Two Interactive,21,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,Rockstar North,1197,M,2,HIGH,3
Grand Theft Auto: Vice City,3871,PS2,13,2002,Action,1,Take Two Interactive,21,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,1197,M,2,HIGH,3
Brain Age 2: More Training in Minutes a Day,3337,DS,11,2005,Puzzle,12,Nintendo,156,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,Nintendo,1264,E,1,HIGH,3
Gran Turismo 3: A-Spec,873,PS2,13,2001,Racing,5,Sony Computer Entertainment,34,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,Polyphony Digital,550,E,1,HIGH,3
Call of Duty: Modern Warfare 3,2364,X360,15,2011,Shooter,3,Activision,176,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,Infinity Ward Sledgehammer Games,802,M,2,HIGH,3
Call of Duty: Black Ops,2219,X360,15,2010,Shooter,3,Activision,176,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,Treyarch,1245,M,2,HIGH,3
Call of Duty: Black Ops II,1206,PS3,14,2012,Shooter,3,Activision,176,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,Treyarch,1245,M,2,HIGH,3
Call of Duty: Black Ops II,1206,X360,15,2012,Shooter,3,Activision,176,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,Treyarch,1245,M,2,HIGH,3
Call of Duty: Modern Warfare 2,3397,X360,15,2009,Shooter,3,Activision,176,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,Infinity Ward,975,M,2,HIGH,3
Call of Duty: Modern Warfare 3,2364,PS3,14,2011,Shooter,3,Activision,176,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,Infinity Ward Sledgehammer Games,802,M,2,HIGH,3
Grand Theft Auto III,2964,PS2,13,2001,Action,1,Take Two Interactive,21,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,DMA Design,610,M,2,HIGH,3
Super Smash Bros. Brawl,2239,Wii,7,2008,Fighting,8,Nintendo,156,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts,1090,T,0,HIGH,3
Mario Kart 7,2790,3DS,16,2011,Racing,5,Nintendo,156,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,Retro Studios Entertainment Analysis & Development Division,640,E,1,HIGH,3
Call of Duty: Black Ops,2219,PS3,14,2010,Shooter,3,Activision,176,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,Treyarch,1245,M,2,HIGH,3
Grand Theft Auto V,300,PS4,3,2014,Action,1,Take Two Interactive,21,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,1197,M,2,HIGH,3
Animal Crossing: Wild World,4206,DS,11,2005,Simulation,9,Nintendo,156,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,1264,E,1,HIGH,3
Halo 3,1043,X360,15,2007,Shooter,3,Microsoft Game Studios,14,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,Bungie Software Bungie,1250,M,2,HIGH,3
Gran Turismo 4,2365,PS2,13,2004,Racing,5,Sony Computer Entertainment,34,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,550,E,1,HIGH,3
Super Mario Galaxy,518,Wii,7,2007,Platform,6,Nintendo,156,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo,1264,E,1,HIGH,3
Grand Theft Auto IV,4126,X360,15,2008,Action,1,Take Two Interactive,21,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,Rockstar North,1197,M,2,HIGH,3
Gran Turismo,2751,PS,8,1997,Racing,5,Sony Computer Entertainment,34,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,550,E,1,HIGH,3
Super Mario 3D Land,3227,3DS,16,2011,Platform,6,Nintendo,156,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,1264,E,1,HIGH,3
Gran Turismo 5,3857,PS3,14,2010,Racing,5,Sony Computer Entertainment,34,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,550,E,1,HIGH,3
